ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5008839,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3
5008840,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3
5008841,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3
5008842,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3
5008843,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3
5008844,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2
5008846,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2
5008847,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2
5008849,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2
5008850,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2
5008851,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2
5008852,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2
5008853,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2
6153733,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2
6153734,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2
6153735,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2
5008854,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008855,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008856,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008857,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008858,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008859,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008860,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008861,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008862,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008863,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008864,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008865,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008866,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008867,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5112846,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
6153736,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008868,F,N,Y,1,211500,State servant,Secondary / secondary special,Civil marriage,House / apartment,-16212,-7099,1,0,0,0,Core staff,3
5008870,F,N,Y,1,211500,State servant,Secondary / secondary special,Civil marriage,House / apartment,-16212,-7099,1,0,0,0,Core staff,3
5008872,M,Y,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,-16670,-5364,1,0,1,0,Security staff,2
6153737,M,Y,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,-16670,-5364,1,0,1,0,Security staff,2
5008873,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4
5008874,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4
5008875,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4
5008876,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4
5008877,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4
5008878,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4
5008879,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4
5008880,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4
5008881,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4
5008882,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4
5008884,F,N,Y,0,315000,Pensioner,Secondary / secondary special,Widow,House / apartment,-20186,365243,1,0,0,0,,1
5008888,F,N,Y,0,247500,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,1,0,0,0,Core staff,1
5008889,F,N,Y,0,247500,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,1,0,0,0,Core staff,1
5008890,F,N,Y,0,247500,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,1,0,0,0,Core staff,1
5112847,F,N,Y,0,247500,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,1,0,0,0,Core staff,1
5008891,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008892,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008893,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008894,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008895,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008896,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008897,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008898,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008899,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008900,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008901,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008902,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008903,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008904,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008905,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008906,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008907,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008908,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008909,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008910,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008911,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008912,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008913,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008914,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008915,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008916,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008917,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008918,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008919,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008920,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008921,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008922,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008923,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008924,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008925,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008926,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008927,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008928,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008929,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008930,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008931,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008932,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008933,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008934,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008935,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008936,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008937,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008938,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008939,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008940,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008941,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
6153773,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
6153774,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
6153775,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1
5008942,F,N,N,0,157500,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,1,0,1,0,High skill tech staff,2
5008943,F,N,N,0,157500,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,1,0,1,0,High skill tech staff,2
5008944,F,N,N,0,157500,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,1,0,1,0,High skill tech staff,2
5008945,F,N,N,0,157500,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,1,0,1,0,High skill tech staff,2
5008946,F,N,N,0,157500,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,1,0,1,0,High skill tech staff,2
5008947,M,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,1,1,1,0,Drivers,2
5008948,M,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,1,1,1,0,Drivers,2
5008949,M,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,1,1,1,0,Drivers,2
5008950,M,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,1,1,1,0,Drivers,2
5008951,M,N,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,-10321,-2808,1,0,0,0,,3
5008952,M,N,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,-10321,-2808,1,0,0,0,,3
5008953,M,N,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,-10321,-2808,1,0,0,0,,3
5008954,M,N,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,-10321,-2808,1,0,0,0,,3
5008955,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,2
5008956,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,2
5008957,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,2
5008958,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,2
5008959,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,2
5008960,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,2
5008962,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,2
5008963,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,2
5008966,M,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,-16027,-889,1,0,1,0,,2
5008967,M,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,-16027,-889,1,0,1,0,,2
5008971,M,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,-16027,-889,1,0,1,0,,2
5008973,M,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,-16027,-889,1,0,1,0,,2
5008974,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,1,0,0,0,,2
5008975,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,1,0,0,0,,2
5008976,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,1,0,0,0,,2
5008977,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,1,0,0,0,,2
5008978,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,1,0,0,0,,2
5008979,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,1,0,0,0,,2
5008980,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,1,0,0,0,,2
5008981,M,Y,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,1,0,1,0,Drivers,2
5008983,M,Y,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,1,0,1,0,Drivers,2
5008984,M,Y,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,1,0,1,0,Drivers,2
5008986,M,Y,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,1,0,1,0,Drivers,2
5008987,M,Y,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,1,0,1,0,Drivers,2
5008988,M,Y,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,1,0,1,0,Drivers,2
6153800,M,Y,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,1,0,1,0,Drivers,2
5008991,F,Y,Y,0,270000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,1,1,1,0,Cleaning staff,1
5008992,F,Y,Y,0,270000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,1,1,1,0,Cleaning staff,1
5008993,F,Y,Y,0,270000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,1,1,1,0,Cleaning staff,1
5008994,F,Y,Y,0,270000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,1,1,1,0,Cleaning staff,1
5008995,F,Y,Y,0,270000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,1,1,1,0,Cleaning staff,1
5112861,F,Y,Y,0,270000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,1,1,1,0,Cleaning staff,1
6153801,F,Y,Y,0,270000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,1,1,1,0,Cleaning staff,1
5008998,F,Y,Y,0,270000,Working,Higher education,Married,House / apartment,-10628,-828,1,0,0,1,Managers,2
5008999,F,Y,Y,0,270000,Working,Higher education,Married,House / apartment,-10628,-828,1,0,0,1,Managers,2
5009000,M,Y,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,-9927,-828,1,0,0,0,Drivers,2
